filename,correct_answer,level
SO09_ar,durham,county
DY01_ar,northumberland,county
SO02_ar,durham,county
SO05_ar,tyne_and_wear,county
DO17_ar,tyne_and_wear,county
DY06_ar,tyne_and_wear,county
SY11_ar,durham,county
SY06_ar,tyne_and_wear,county
SO10_ar,tyne_and_wear,county
DY03_ar,tyne_and_wear,county
SO08_ar,tyne_and_wear,county
SO07_ar,northumberland,county
DO07_ar,durham,county
SO11_ar,northumberland,county
DY04_ar,durham,county
SY02_ar,tyne_and_wear,county
SY05_ar,durham,county
SY01_ar,northumberland,county
SO03_ar,durham,county
DY05_ar,durham,county
DO09_ar,northumberland,county
DY02_ar,northumberland,county
SY12_ar,northumberland,county
DO01_ar,northumberland,county
DO16_ur,south_tyneside,borough
DY07_ur,gateshead,borough
DY11_ur,south_tyneside,borough
DY18_ur,newcastle,borough
DO02_ur,newcastle,borough
SO05_ur,newcastle,borough
DO15_ur,north_tyneside,borough
DY19_ur,gateshead,borough
DO05_ur,south_tyneside,borough
SO10_ur,gateshead,borough
DO08_ur,gateshead,borough
DO06_ur,south_tyneside,borough
SO01_ur,sunderland,borough
SY04_ur,newcastle,borough
DO11_ur,sunderland,borough
SY09_ur,north_tyneside,borough
DY14_ur,newcastle,borough
DO10_ur,sunderland,borough
DO04_ur,gateshead,borough
SY07_ur,north_tyneside,borough
SY08_ur,gateshead,borough
SY13_ur,sunderland,borough
DY12_ur,north_tyneside,borough
DY09_ur,sunderland,borough
DY10_ur,south_tyneside,borough
DY17_ur,south_tyneside,borough
DO14_ur,north_tyneside,borough
DY08_ur,sunderland,borough
DO12_ur,north_tyneside,borough
DO18_ur,sunderland,borough
DO13_ur,north_tyneside,borough
DY13_ur,north_tyneside,borough
DO03_ur,newcastle,borough
DY16_ur,gateshead,borough
SY10_ur,south_tyneside,borough
SO08_ur,south_tyneside,borough
SY03_ur,sunderland,borough
SO04_ur,gateshead,borough
SO06_ur,newcastle,borough
DY15_ur,newcastle,borough
DO09_h,northumberland,county
SY02_h,tyne_and_wear,county
SO07_h,northumberland,county
DY01_h,northumberland,county
DY06_h,tyne_and_wear,county
SY12_h,northumberland,county
SO08_h,tyne_and_wear,county
SO10_h,tyne_and_wear,county
SO03_h,durham,county
SO09_h,durham,county
DY03_h,tyne_and_wear,county
DY05_h,durham,county
DO07_h,durham,county
DY04_h,durham,county
SO05_h,tyne_and_wear,county
DO17_h,tyne_and_wear,county
SO11_h,northumberland,county
SY01_h,northumberland,county
SY05_h,durham,county
SY06_h,tyne_and_wear,county
DY02_h,northumberland,county
DO01_h,northumberland,county
SY11_h,durham,county
SO02_h,durham,county
DO12_ou,north_tyneside,borough
SY03_ou,sunderland,borough
DO13_ou,north_tyneside,borough
DY08_ou,sunderland,borough
DO08_ou,gateshead,borough
SY08_ou,gateshead,borough
DY16_ou,gateshead,borough
DY14_ou,newcastle,borough
DO11_ou,sunderland,borough
SO08_ou,south_tyneside,borough
DO10_ou,sunderland,borough
DY09_ou,sunderland,borough
DO18_ou,sunderland,borough
DY18_ou,newcastle,borough
SY04_ou,newcastle,borough
SO10_ou,gateshead,borough
SO05_ou,newcastle,borough
SO06_ou,newcastle,borough
DY11_ou,south_tyneside,borough
SO04_ou,gateshead,borough
DY19_ou,gateshead,borough
DO16_ou,south_tyneside,borough
SY10_ou,south_tyneside,borough
DO15_ou,north_tyneside,borough
DY17_ou,south_tyneside,borough
DO05_ou,south_tyneside,borough
SO01_ou,sunderland,borough
DO03_ou,newcastle,borough
SY07_ou,north_tyneside,borough
DO04_ou,gateshead,borough
SY13_ou,sunderland,borough
DO02_ou,newcastle,borough
DY10_ou,south_tyneside,borough
DY13_ou,north_tyneside,borough
DY15_ou,newcastle,borough
DO14_ou,north_tyneside,borough
SY09_ou,north_tyneside,borough
DY12_ou,north_tyneside,borough
DO06_ou,south_tyneside,borough
DY07_ou,gateshead,borough
